school,major,priority,likely_issue,required_courses,recommended_courses,gpa,credits,english,note,action
"UC San Diego","Bioengineering — Bioengineering","HIGH","Separate campus common requirements from major-specific requirements","MATH 20A (Calculus 1) + MATH 20B (Calculus 2) + MATH 20C (Calculus 3) — 모든 전공 공통 필수 | 모든 screening 과목 C 이상 (별도 명시 제외) | 추가 필수 수학: MATH 20D (Differential Equations) | 필수 물리: PHYS 2A + PHYS 2B + PHYS 2BL (lab) + PHYS 2CL (lab) | 필수 화학: CHEM 6A + CHEM 6B","BILD 1 | MAE 8 (MATLAB) | MATH 18 (Linear Algebra) | MATH 20E | PHYS 2C | CHEM 7L","2.4 (CA) / 2.8 (비CA)
Screening: C 이상 (전 과목)","60 sem / 90 qtr UC-transferable","TOEFL iBT: 83+ | IELTS Academic: 7.0+ | Duolingo: 115+
점수 제출 마감: January | 유효기간: 2년 | SAT/ACT 불인정","Source: admissions.ucsd.edu/transfer/transfer-major-preparation.html ✅ Verified May 2026
공통: Min 60 sem/90 qtr UC-transferable units | Fall only (Nov 1-30)
Selective Major — 모든 screening 과목 Spring 종료 전 완료 필수
Min GPA: CA 거주자 2.4 / 비거주자 2.8 (실제 합격자는 훨씬 높음)
대안 전공(non-selective) 기재 강력 권장
특이사항: PHYS 2BL+2CL(실험) 필수 포함 | PHYS 2C는 권장만","Reclassify each item as required, recommended, optional, or unknown using official campus page and ASSIST when applicable"
"UC San Diego","Bioengineering — Bioinformatics","HIGH","Separate campus common requirements from major-specific requirements","MATH 20A (Calculus 1) + MATH 20B (Calculus 2) + MATH 20C (Calculus 3) — 모든 전공 공통 필수 | 모든 screening 과목 C 이상 (별도 명시 제외) | 추가 필수 수학: MATH 20D | 필수 물리: PHYS 2A + PHYS 2B | 필수 화학: CHEM 6A + CHEM 6B","BILD 1 | BILD 3 | BILD 4 | CSE 11 | CSE 12 | MATH 18 | MATH 20E","2.4 (CA) / 2.8 (비CA)
Screening: C 이상 (전 과목)","60 sem / 90 qtr UC-transferable","TOEFL iBT: 83+ | IELTS Academic: 7.0+ | Duolingo: 115+
점수 제출 마감: January | 유효기간: 2년 | SAT/ACT 불인정","Source: admissions.ucsd.edu/transfer/transfer-major-preparation.html ✅ Verified May 2026
공통: Min 60 sem/90 qtr UC-transferable units | Fall only (Nov 1-30)
Selective Major — 모든 screening 과목 Spring 종료 전 완료 필수
Min GPA: CA 거주자 2.4 / 비거주자 2.8 (실제 합격자는 훨씬 높음)
대안 전공(non-selective) 기재 강력 권장
특이사항: PHYS 2C 불필요 | CS 과목 권장만","Reclassify each item as required, recommended, optional, or unknown using official campus page and ASSIST when applicable"
"UC San Diego","Bioengineering — BioSystems","HIGH","Separate campus common requirements from major-specific requirements","MATH 20A (Calculus 1) + MATH 20B (Calculus 2) + MATH 20C (Calculus 3) — 모든 전공 공통 필수 | 모든 screening 과목 C 이상 (별도 명시 제외) | 추가 필수 수학: MATH 20D | 필수 물리: PHYS 2A + PHYS 2B | 필수 화학: CHEM 6A + CHEM 6B","BILD 1 | MAE 8 or BENG 2 | MATH 18 | MATH 20E | PHYS 2BL | PHYS 2C","2.4 (CA) / 2.8 (비CA)
Screening: C 이상 (전 과목)","60 sem / 90 qtr UC-transferable","TOEFL iBT: 83+ | IELTS Academic: 7.0+ | Duolingo: 115+
점수 제출 마감: January | 유효기간: 2년 | SAT/ACT 불인정","Source: admissions.ucsd.edu/transfer/transfer-major-preparation.html ✅ Verified May 2026
공통: Min 60 sem/90 qtr UC-transferable units | Fall only (Nov 1-30)
Selective Major — 모든 screening 과목 Spring 종료 전 완료 필수
Min GPA: CA 거주자 2.4 / 비거주자 2.8 (실제 합격자는 훨씬 높음)
대안 전공(non-selective) 기재 강력 권장
특이사항: PHYS 2C 권장만 | 실험 없음","Reclassify each item as required, recommended, optional, or unknown using official campus page and ASSIST when applicable"
"UC San Diego","Bioengineering — Biotechnology","HIGH","Separate campus common requirements from major-specific requirements","MATH 20A (Calculus 1) + MATH 20B (Calculus 2) + MATH 20C (Calculus 3) — 모든 전공 공통 필수 | 모든 screening 과목 C 이상 (별도 명시 제외) | 추가 필수 수학: MATH 20D | 필수 물리: PHYS 2A + PHYS 2B + PHYS 2CL (lab) | 필수 화학: CHEM 6A + CHEM 6B","BILD 1 | BILD 3 | CHEM 6C | CHEM 7L | CHEM 41A/B | MAE 8 | MATH 18 | MATH 20E | PHYS 2C","2.4 (CA) / 2.8 (비CA)
Screening: C 이상 (전 과목)","60 sem / 90 qtr UC-transferable","TOEFL iBT: 83+ | IELTS Academic: 7.0+ | Duolingo: 115+
점수 제출 마감: January | 유효기간: 2년 | SAT/ACT 불인정","Source: admissions.ucsd.edu/transfer/transfer-major-preparation.html ✅ Verified May 2026
공통: Min 60 sem/90 qtr UC-transferable units | Fall only (Nov 1-30)
Selective Major — 모든 screening 과목 Spring 종료 전 완료 필수
Min GPA: CA 거주자 2.4 / 비거주자 2.8 (실제 합격자는 훨씬 높음)
대안 전공(non-selective) 기재 강력 권장
특이사항: PHYS 2CL(실험) 필수 | CHEM 6C 권장만","Reclassify each item as required, recommended, optional, or unknown using official campus page and ASSIST when applicable"
"UC San Diego","Chemical & NanoEngineering — Chemical Engineering","HIGH","Separate campus common requirements from major-specific requirements","MATH 20A (Calculus 1) + MATH 20B (Calculus 2) + MATH 20C (Calculus 3) — 모든 전공 공통 필수 | 모든 screening 과목 C 이상 (별도 명시 제외) | 추가 필수 수학: MATH 20D + ★ MATH 18 (Fall 2026 추가 필수) | 필수 물리: PHYS 2A + PHYS 2B + PHYS 2C + PHYS 2CL (lab) | 필수 화학: CHEM 6A + CHEM 6B + CHEM 6C","","2.4 (CA) / 2.8 (비CA)
Screening: C 이상 (전 과목)","60 sem / 90 qtr UC-transferable","TOEFL iBT: 83+ | IELTS Academic: 7.0+ | Duolingo: 115+
점수 제출 마감: January | 유효기간: 2년 | SAT/ACT 불인정","Source: admissions.ucsd.edu/transfer/transfer-major-preparation.html ✅ Verified May 2026
공통: Min 60 sem/90 qtr UC-transferable units | Fall only (Nov 1-30)
Selective Major — 모든 screening 과목 Spring 종료 전 완료 필수
Min GPA: CA 거주자 2.4 / 비거주자 2.8 (실제 합격자는 훨씬 높음)
대안 전공(non-selective) 기재 강력 권장
특이사항: ★ EFFECTIVE FALL 2026: MATH 18 Linear Algebra 추가 필수","Reclassify each item as required, recommended, optional, or unknown using official campus page and ASSIST when applicable"
"UC San Diego","Chemical & NanoEngineering — NanoEngineering","HIGH","Separate campus common requirements from major-specific requirements","MATH 20A (Calculus 1) + MATH 20B (Calculus 2) + MATH 20C (Calculus 3) — 모든 전공 공통 필수 | 모든 screening 과목 C 이상 (별도 명시 제외) | 추가 필수 수학: MATH 20D + ★ MATH 18 (Fall 2026 추가 필수) | 필수 물리: PHYS 2A + PHYS 2B + PHYS 2C (실험 없음) | 필수 화학: CHEM 6A + CHEM 6B + CHEM 6C","","2.4 (CA) / 2.8 (비CA)
Screening: C 이상 (전 과목)","60 sem / 90 qtr UC-transferable","TOEFL iBT: 83+ | IELTS Academic: 7.0+ | Duolingo: 115+
점수 제출 마감: January | 유효기간: 2년 | SAT/ACT 불인정","Source: admissions.ucsd.edu/transfer/transfer-major-preparation.html ✅ Verified May 2026
공통: Min 60 sem/90 qtr UC-transferable units | Fall only (Nov 1-30)
Selective Major — 모든 screening 과목 Spring 종료 전 완료 필수
Min GPA: CA 거주자 2.4 / 비거주자 2.8 (실제 합격자는 훨씬 높음)
대안 전공(non-selective) 기재 강력 권장
특이사항: ★ EFFECTIVE FALL 2026: MATH 18 추가 필수 | PHYS 실험 불필요","Reclassify each item as required, recommended, optional, or unknown using official campus page and ASSIST when applicable"
"UC San Diego","Computer Science & Engineering — Computer Engineering (CSE dept)","HIGH","Separate campus common requirements from major-specific requirements","MATH 20A (Calculus 1) + MATH 20B (Calculus 2) + MATH 20C (Calculus 3) — 모든 전공 공통 필수 | 모든 screening 과목 C 이상 (별도 명시 제외) | 추가 필수 수학: MATH 18 + MATH 20D | 필수 물리: PHYS 2A + PHYS 2B + PHYS 2C | 화학: Chemistry 불필요 | 필수 CS/프로그래밍: CSE 11 + CSE 12","CSE 30 (권장 — 졸업 요건이기도 함)","2.4 (CA) / 2.8 (비CA)
Screening: C 이상 (전 과목)","60 sem / 90 qtr UC-transferable","TOEFL iBT: 83+ | IELTS Academic: 7.0+ | Duolingo: 115+
점수 제출 마감: January | 유효기간: 2년 | SAT/ACT 불인정","Source: admissions.ucsd.edu/transfer/transfer-major-preparation.html ✅ Verified May 2026
공통: Min 60 sem/90 qtr UC-transferable units | Fall only (Nov 1-30)
Selective Major — 모든 screening 과목 Spring 종료 전 완료 필수
Min GPA: CA 거주자 2.4 / 비거주자 2.8 (실제 합격자는 훨씬 높음)
대안 전공(non-selective) 기재 강력 권장
특이사항: Chemistry 불필요","Reclassify each item as required, recommended, optional, or unknown using official campus page and ASSIST when applicable"
"UC San Diego","Computer Science & Engineering — Computer Science","HIGH","Separate campus common requirements from major-specific requirements","MATH 20A (Calculus 1) + MATH 20B (Calculus 2) + MATH 20C (Calculus 3) — 모든 전공 공통 필수 | 모든 screening 과목 C 이상 (별도 명시 제외) | 추가 필수 수학: MATH 18 (MATH 20D 불필요) | 필수 물리: PHYS 2A/2B/2C/2D/4A/4B OR CHEM 6A/6B OR BILD 1/2/3 등 목록에서 1과목 선택 | 필수 화학: 위 Physics 항목에서 CHEM으로 선택 가능 | 필수 CS/프로그래밍: CSE 11 + CSE 12 + CSE 20","","2.4 (CA) / 2.8 (비CA)
Screening: C 이상 (전 과목)","60 sem / 90 qtr UC-transferable","TOEFL iBT: 83+ | IELTS Academic: 7.0+ | Duolingo: 115+
점수 제출 마감: January | 유효기간: 2년 | SAT/ACT 불인정","Source: admissions.ucsd.edu/transfer/transfer-major-preparation.html ✅ Verified May 2026
공통: Min 60 sem/90 qtr UC-transferable units | Fall only (Nov 1-30)
Selective Major — 모든 screening 과목 Spring 종료 전 완료 필수
Min GPA: CA 거주자 2.4 / 비거주자 2.8 (실제 합격자는 훨씬 높음)
대안 전공(non-selective) 기재 강력 권장
특이사항: MATH 20D 불필요 | 자연과학 1과목 = PHYS/CHEM/BIOL 목록에서 선택","Reclassify each item as required, recommended, optional, or unknown using official campus page and ASSIST when applicable"
"UC San Diego","Computer Science & Engineering — CS Bioinformatics","HIGH","Separate campus common requirements from major-specific requirements","MATH 20A (Calculus 1) + MATH 20B (Calculus 2) + MATH 20C (Calculus 3) — 모든 전공 공통 필수 | 모든 screening 과목 C 이상 (별도 명시 제외) | 추가 필수 수학: MATH 18 (MATH 20D 불필요) | 물리: Physics 불필요 | 필수 화학: CHEM 6A | 필수 CS/프로그래밍: CSE 11 + CSE 12 | 기타 필수: BILD 1 or BILD 3 (필수)","","2.4 (CA) / 2.8 (비CA)
Screening: C 이상 (전 과목)","60 sem / 90 qtr UC-transferable","TOEFL iBT: 83+ | IELTS Academic: 7.0+ | Duolingo: 115+
점수 제출 마감: January | 유효기간: 2년 | SAT/ACT 불인정","Source: admissions.ucsd.edu/transfer/transfer-major-preparation.html ✅ Verified May 2026
공통: Min 60 sem/90 qtr UC-transferable units | Fall only (Nov 1-30)
Selective Major — 모든 screening 과목 Spring 종료 전 완료 필수
Min GPA: CA 거주자 2.4 / 비거주자 2.8 (실제 합격자는 훨씬 높음)
대안 전공(non-selective) 기재 강력 권장
특이사항: Physics 불필요 | BILD 필수","Reclassify each item as required, recommended, optional, or unknown using official campus page and ASSIST when applicable"
"UC San Diego","Computer Science & Engineering — Artificial Intelligence","HIGH","Separate campus common requirements from major-specific requirements","MATH 20A (Calculus 1) + MATH 20B (Calculus 2) + MATH 20C (Calculus 3) — 모든 전공 공통 필수 | 모든 screening 과목 C 이상 (별도 명시 제외) | 추가 필수 수학: MATH 18 (MATH 20D 불필요) | 필수 물리: PHYS 2A/2B/2C/2D/4A/4B OR CHEM 6A/6B OR BILD 등에서 1과목 선택 | 필수 화학: 위 항목에서 선택 가능 | 필수 CS/프로그래밍: CSE 11 + CSE 12 + CSE 20","","2.4 (CA) / 2.8 (비CA)
Screening: C 이상 (전 과목)","60 sem / 90 qtr UC-transferable","TOEFL iBT: 83+ | IELTS Academic: 7.0+ | Duolingo: 115+
점수 제출 마감: January | 유효기간: 2년 | SAT/ACT 불인정","Source: admissions.ucsd.edu/transfer/transfer-major-preparation.html ✅ Verified May 2026
공통: Min 60 sem/90 qtr UC-transferable units | Fall only (Nov 1-30)
Selective Major — 모든 screening 과목 Spring 종료 전 완료 필수
Min GPA: CA 거주자 2.4 / 비거주자 2.8 (실제 합격자는 훨씬 높음)
대안 전공(non-selective) 기재 강력 권장
특이사항: ★★ FALL 2026 TRANSFER 불가 — 공식 명시: 'Major is not accepting transfer applications for Fall 2026 admission'","Reclassify each item as required, recommended, optional, or unknown using official campus page and ASSIST when applicable"
"UC San Diego","Electrical & Computer Engineering — Computer Engineering (ECE dept)","HIGH","Separate campus common requirements from major-specific requirements","MATH 20A (Calculus 1) + MATH 20B (Calculus 2) + MATH 20C (Calculus 3) — 모든 전공 공통 필수 | 모든 screening 과목 C 이상 (별도 명시 제외) | 추가 필수 수학: MATH 18 + MATH 20D | 필수 물리: PHYS 2A + PHYS 2B + PHYS 2C | 화학: Chemistry 불필요 | 필수 CS/프로그래밍: CSE 11 + CSE 12","CSE 30","2.4 (CA) / 2.8 (비CA)
Screening: C 이상 (전 과목)","60 sem / 90 qtr UC-transferable","TOEFL iBT: 83+ | IELTS Academic: 7.0+ | Duolingo: 115+
점수 제출 마감: January | 유효기간: 2년 | SAT/ACT 불인정","Source: admissions.ucsd.edu/transfer/transfer-major-preparation.html ✅ Verified May 2026
공통: Min 60 sem/90 qtr UC-transferable units | Fall only (Nov 1-30)
Selective Major — 모든 screening 과목 Spring 종료 전 완료 필수
Min GPA: CA 거주자 2.4 / 비거주자 2.8 (실제 합격자는 훨씬 높음)
대안 전공(non-selective) 기재 강력 권장
특이사항: CSE dept의 Computer Engineering과 동일 요건","Reclassify each item as required, recommended, optional, or unknown using official campus page and ASSIST when applicable"
"UC San Diego","Electrical & Computer Engineering — Electrical Engineering","HIGH","Separate campus common requirements from major-specific requirements","MATH 20A (Calculus 1) + MATH 20B (Calculus 2) + MATH 20C (Calculus 3) — 모든 전공 공통 필수 | 모든 screening 과목 C 이상 (별도 명시 제외) | 추가 필수 수학: MATH 18 + MATH 20D | 필수 물리: PHYS 2A + PHYS 2B + PHYS 2C | 화학: Chemistry 불필요 (CHEM 6A 권장만) | 필수 CS/프로그래밍: Java/C/C++ 프로그래밍 1과목 (CSE 8A, 8B, or 11 상당)","CHEM 6A","2.4 (CA) / 2.8 (비CA)
Screening: C 이상 (전 과목)","60 sem / 90 qtr UC-transferable","TOEFL iBT: 83+ | IELTS Academic: 7.0+ | Duolingo: 115+
점수 제출 마감: January | 유효기간: 2년 | SAT/ACT 불인정","Source: admissions.ucsd.edu/transfer/transfer-major-preparation.html ✅ Verified May 2026
공통: Min 60 sem/90 qtr UC-transferable units | Fall only (Nov 1-30)
Selective Major — 모든 screening 과목 Spring 종료 전 완료 필수
Min GPA: CA 거주자 2.4 / 비거주자 2.8 (실제 합격자는 훨씬 높음)
대안 전공(non-selective) 기재 강력 권장
특이사항: Chemistry 권장만 | Programming 1과목 필수","Reclassify each item as required, recommended, optional, or unknown using official campus page and ASSIST when applicable"
"UC San Diego","Electrical & Computer Engineering — EE & Society","HIGH","Separate campus common requirements from major-specific requirements","MATH 20A (Calculus 1) + MATH 20B (Calculus 2) + MATH 20C (Calculus 3) — 모든 전공 공통 필수 | 모든 screening 과목 C 이상 (별도 명시 제외) | 추가 필수 수학: MATH 18 + MATH 20D | 필수 물리: PHYS 2A + PHYS 2B + PHYS 2C | 화학: Chemistry 불필요 (CHEM 6A 권장만) | 필수 CS/프로그래밍: Java/C/C++ 프로그래밍 1과목","CHEM 6A","2.4 (CA) / 2.8 (비CA)
Screening: C 이상 (전 과목)","60 sem / 90 qtr UC-transferable","TOEFL iBT: 83+ | IELTS Academic: 7.0+ | Duolingo: 115+
점수 제출 마감: January | 유효기간: 2년 | SAT/ACT 불인정","Source: admissions.ucsd.edu/transfer/transfer-major-preparation.html ✅ Verified May 2026
공통: Min 60 sem/90 qtr UC-transferable units | Fall only (Nov 1-30)
Selective Major — 모든 screening 과목 Spring 종료 전 완료 필수
Min GPA: CA 거주자 2.4 / 비거주자 2.8 (실제 합격자는 훨씬 높음)
대안 전공(non-selective) 기재 강력 권장
특이사항: EE와 동일 요건","Reclassify each item as required, recommended, optional, or unknown using official campus page and ASSIST when applicable"
"UC San Diego","Electrical & Computer Engineering — Engineering Physics","HIGH","Separate campus common requirements from major-specific requirements","MATH 20A (Calculus 1) + MATH 20B (Calculus 2) + MATH 20C (Calculus 3) — 모든 전공 공통 필수 | 모든 screening 과목 C 이상 (별도 명시 제외) | 추가 필수 수학: MATH 18 + MATH 20D | 필수 물리: PHYS 2A + PHYS 2B + PHYS 2C | 화학: Chemistry 불필요 (CHEM 6A 권장만) | 필수 CS/프로그래밍: Java/C/C++ 프로그래밍 1과목","CHEM 6A","2.4 (CA) / 2.8 (비CA)
Screening: ★ 3.0 이상 (Physics 전공만 별도 기준)","60 sem / 90 qtr UC-transferable","TOEFL iBT: 83+ | IELTS Academic: 7.0+ | Duolingo: 115+
점수 제출 마감: January | 유효기간: 2년 | SAT/ACT 불인정","Source: admissions.ucsd.edu/transfer/transfer-major-preparation.html ✅ Verified May 2026
공통: Min 60 sem/90 qtr UC-transferable units | Fall only (Nov 1-30)
Selective Major — 모든 screening 과목 Spring 종료 전 완료 필수
Min GPA: CA 거주자 2.4 / 비거주자 2.8 (실제 합격자는 훨씬 높음)
대안 전공(non-selective) 기재 강력 권장
특이사항: EE와 동일 요건","Reclassify each item as required, recommended, optional, or unknown using official campus page and ASSIST when applicable"
"UC San Diego","Mechanical & Aerospace Engineering — Aerospace Engineering","HIGH","Separate campus common requirements from major-specific requirements","MATH 20A (Calculus 1) + MATH 20B (Calculus 2) + MATH 20C (Calculus 3) — 모든 전공 공통 필수 | 모든 screening 과목 C 이상 (별도 명시 제외) | 추가 필수 수학: MATH 18 + MATH 20D | 필수 물리: PHYS 2A + PHYS 2B + PHYS 2C + PHYS 2CL (lab) | 필수 화학: CHEM 6A (1과목만)","MAE 8 (MATLAB)","2.4 (CA) / 2.8 (비CA)
Screening: C 이상 (전 과목)","60 sem / 90 qtr UC-transferable","TOEFL iBT: 83+ | IELTS Academic: 7.0+ | Duolingo: 115+
점수 제출 마감: January | 유효기간: 2년 | SAT/ACT 불인정","Source: admissions.ucsd.edu/transfer/transfer-major-preparation.html ✅ Verified May 2026
공통: Min 60 sem/90 qtr UC-transferable units | Fall only (Nov 1-30)
Selective Major — 모든 screening 과목 Spring 종료 전 완료 필수
Min GPA: CA 거주자 2.4 / 비거주자 2.8 (실제 합격자는 훨씬 높음)
대안 전공(non-selective) 기재 강력 권장
특이사항: PHYS 2CL(실험) 필수 | Chemistry 1과목만","Reclassify each item as required, recommended, optional, or unknown using official campus page and ASSIST when applicable"
"UC San Diego","Mechanical & Aerospace Engineering — Mechanical Engineering","HIGH","Separate campus common requirements from major-specific requirements","MATH 20A (Calculus 1) + MATH 20B (Calculus 2) + MATH 20C (Calculus 3) — 모든 전공 공통 필수 | 모든 screening 과목 C 이상 (별도 명시 제외) | 추가 필수 수학: MATH 18 + MATH 20D | 필수 물리: PHYS 2A + PHYS 2B + PHYS 2C (실험 없음) | 필수 화학: CHEM 6A (1과목만)","MAE 8 | MAE 20 | MAE 40","2.4 (CA) / 2.8 (비CA)
Screening: C 이상 (전 과목)","60 sem / 90 qtr UC-transferable","TOEFL iBT: 83+ | IELTS Academic: 7.0+ | Duolingo: 115+
점수 제출 마감: January | 유효기간: 2년 | SAT/ACT 불인정","Source: admissions.ucsd.edu/transfer/transfer-major-preparation.html ✅ Verified May 2026
공통: Min 60 sem/90 qtr UC-transferable units | Fall only (Nov 1-30)
Selective Major — 모든 screening 과목 Spring 종료 전 완료 필수
Min GPA: CA 거주자 2.4 / 비거주자 2.8 (실제 합격자는 훨씬 높음)
대안 전공(non-selective) 기재 강력 권장
특이사항: Physics 실험 불필요 | Chemistry 1과목만","Reclassify each item as required, recommended, optional, or unknown using official campus page and ASSIST when applicable"
"UC San Diego","Structural Engineering — Structural Engineering","HIGH","Separate campus common requirements from major-specific requirements","MATH 20A (Calculus 1) + MATH 20B (Calculus 2) + MATH 20C (Calculus 3) — 모든 전공 공통 필수 | 모든 screening 과목 C 이상 (별도 명시 제외) | 추가 필수 수학: MATH 18 + MATH 20D | 필수 물리: PHYS 2A + PHYS 2B + PHYS 2C + PHYS 2BL (lab) | 필수 화학: CHEM 6A (1과목만)","SE 9 | SE 101A","2.4 (CA) / 2.8 (비CA)
Screening: C 이상 (전 과목)","60 sem / 90 qtr UC-transferable","TOEFL iBT: 83+ | IELTS Academic: 7.0+ | Duolingo: 115+
점수 제출 마감: January | 유효기간: 2년 | SAT/ACT 불인정","Source: admissions.ucsd.edu/transfer/transfer-major-preparation.html ✅ Verified May 2026
공통: Min 60 sem/90 qtr UC-transferable units | Fall only (Nov 1-30)
Selective Major — 모든 screening 과목 Spring 종료 전 완료 필수
Min GPA: CA 거주자 2.4 / 비거주자 2.8 (실제 합격자는 훨씬 높음)
대안 전공(non-selective) 기재 강력 권장
특이사항: PHYS 2BL(실험) 필수 | Chemistry 1과목만","Reclassify each item as required, recommended, optional, or unknown using official campus page and ASSIST when applicable"
"UC San Diego","Physics (Jacobs School) — Physics","HIGH","Separate campus common requirements from major-specific requirements","MATH 20A (Calculus 1) + MATH 20B (Calculus 2) + MATH 20C (Calculus 3) — 모든 전공 공통 필수 | 모든 screening 과목 C 이상 (별도 명시 제외) | 추가 필수 수학: MATH 18 + MATH 20A + MATH 20B + MATH 20C (MATH 20D 불필요) | 필수 물리: PHYS 2A + PHYS 2B + PHYS 2C (권장, screening 필수 아님) | 화학: Chemistry 불필요","MATH 20D | PHYS 2CL | PHYS 2D | PHYS 2DL | Programming 1과목","2.4 (CA) / 2.8 (비CA)
Screening: ★ 3.0 이상 (Physics 전공만 별도 기준)","60 sem / 90 qtr UC-transferable","TOEFL iBT: 83+ | IELTS Academic: 7.0+ | Duolingo: 115+
점수 제출 마감: January | 유효기간: 2년 | SAT/ACT 불인정","Source: admissions.ucsd.edu/transfer/transfer-major-preparation.html ✅ Verified May 2026
공통: Min 60 sem/90 qtr UC-transferable units | Fall only (Nov 1-30)
Selective Major — 모든 screening 과목 Spring 종료 전 완료 필수
Min GPA: CA 거주자 2.4 / 비거주자 2.8 (실제 합격자는 훨씬 높음)
대안 전공(non-selective) 기재 강력 권장
특이사항: ★ EFFECTIVE FALL 2025: Screening GPA 최소 3.0 (이 전공만) | PHYS는 screening 필수 아님 — 권장","Reclassify each item as required, recommended, optional, or unknown using official campus page and ASSIST when applicable"
"UC System","UC Berkeley — College of Engineering","HIGH","ASSIST major-by-major cross-check needed","ASSIST.org 필수 (학과별 공식 목록 미게시) | 공통 필수로 알려진 것: English Composition (R1A+R1B, C- 이상) | Calculus 1+2+3 | Differential Equations | Linear Algebra | Physics 3-series | Chemistry 1 | IGETC 강력 비권장 (공식: 'strongly discourages') | IGETC 사용 시 lower-division GE 미충족 가능 | R1A+R1B = Berkeley 고유 English Composition 시퀀스 (C- 이상)","","3.5 (avg admitted ~3.86)","60 sem / 90 qtr UC-transferable
Fall only (UCSC/UCM 예외)","UC 시스템 공통: TOEFL iBT (≤Jan 20 2026): 80+ | TOEFL iBT (≥Jan 21 2026, 신척도): 4.5+
IELTS: 6.5+ | Duolingo: 115+ | 유효기간: 2년
★ 캠퍼스별 더 높은 기준:
UCLA: TOEFL 100+ (신척도 5+, sub 5+) / IELTS 7.5+ / DET 135+
UCSD: TOEFL 83+ / IELTS 7.0+ / DET 115+
UCB: TOEFL 80+ (선호 100) / IELTS 6.5+ / DET 115+","Source: admission.universityofcalifornia.edu (영어 요건) + 각 캠퍼스 공식 페이지 ✅ Verified May 2026
❌ TAG 없음 | Major change 불가 | Fall only
TOEFL: 80+ (선호 100) / IELTS: 6.5+ / DET: 115+
Source: engineering.berkeley.edu/admissions ✅","Reclassify each item as required, recommended, optional, or unknown using official campus page and ASSIST when applicable"
